"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-11","Quebec","2016A000224","Employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063756","6.3.1.1.1.1","4216.0","","","","1"
"2020-12","Quebec","2016A000224","Employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063756","6.3.1.1.1.1","4200.0","","","","1"
"2021-01","Quebec","2016A000224","Employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063756","6.3.1.1.1.1","4102.1","","","","1"
"2021-02","Quebec","2016A000224","Employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063756","6.3.1.1.1.1","4214.7","","","","1"
"2021-03","Quebec","2016A000224","Employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063756","6.3.1.1.1.1","4240.6","","","","1"
"2021-04","Quebec","2016A000224","Employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063756","6.3.1.1.1.1","4227.3","","","","1"
"2021-05","Quebec","2016A000224","Employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063756","6.3.1.1.1.1","4219.3","","","","1"
"2021-06","Quebec","2016A000224","Employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063756","6.3.1.1.1.1","4291.6","","","","1"
"2021-07","Quebec","2016A000224","Employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063756","6.3.1.1.1.1","4299.1","","","","1"
"2021-08","Quebec","2016A000224","Employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063756","6.3.1.1.1.1","4288.1","","","","1"
"2021-09","Quebec","2016A000224","Employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063756","6.3.1.1.1.1","4319.3","","","","1"
"2021-10","Quebec","2016A000224","Employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063756","6.3.1.1.1.1","4319.0","","","","1"
"2021-11","Quebec","2016A000224","Employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063756","6.3.1.1.1.1","4364.5","","","","1"
"2020-01","Quebec","2016A000224","Employment","Both sexes","15 years and over","Estimate","Trend-cycle","Persons","249","thousands","3","v123339362","6.3.1.1.1.3","4236.3","","","","1"
"2020-02","Quebec","2016A000224","Employment","Both sexes","15 years and over","Estimate","Trend-cycle","Persons","249","thousands","3","v123339362","6.3.1.1.1.3","4138.2","","","","1"
"2020-03","Quebec","2016A000224","Employment","Both sexes","15 years and over","Estimate","Trend-cycle","Persons","249","thousands","3","v123339362","6.3.1.1.1.3","4027.9","","","","1"
"2020-04","Quebec","2016A000224","Employment","Both sexes","15 years and over","Estimate","Trend-cycle","Persons","249","thousands","3","v123339362","6.3.1.1.1.3","3942.3","","","","1"
"2020-05","Quebec","2016A000224","Employment","Both sexes","15 years and over","Estimate","Trend-cycle","Persons","249","thousands","3","v123339362","6.3.1.1.1.3","3920.3","","","","1"
"2020-06","Quebec","2016A000224","Employment","Both sexes","15 years and over","Estimate","Trend-cycle","Persons","249","thousands","3","v123339362","6.3.1.1.1.3","3954.0","","","","1"
"2020-07","Quebec","2016A000224","Employment","Both sexes","15 years and over","Estimate","Trend-cycle","Persons","249","thousands","3","v123339362","6.3.1.1.1.3","4027.6","","","","1"
"2020-08","Quebec","2016A000224","Employment","Both sexes","15 years and over","Estimate","Trend-cycle","Persons","249","thousands","3","v123339362","6.3.1.1.1.3","4098.4","","","","1"
"2020-09","Quebec","2016A000224","Employment","Both sexes","15 years and over","Estimate","Trend-cycle","Persons","249","thousands","3","v123339362","6.3.1.1.1.3","4163.9","","","","1"
"2020-10","Quebec","2016A000224","Employment","Both sexes","15 years and over","Estimate","Trend-cycle","Persons","249","thousands","3","v123339362","6.3.1.1.1.3","4204.6","","","","1"
"2020-11","Quebec","2016A000224","Employment","Both sexes","15 years and over","Estimate","Trend-cycle","Persons","249","thousands","3","v123339362","6.3.1.1.1.3","4203.7","","","","1"
"2020-12","Quebec","2016A000224","Employment","Both sexes","15 years and over","Estimate","Trend-cycle","Persons","249","thousands","3","v123339362","6.3.1.1.1.3","4194.8","","","","1"
"2021-01","Quebec","2016A000224","Employment","Both sexes","15 years and over","Estimate","Trend-cycle","Persons","249","thousands","3","v123339362","6.3.1.1.1.3","4192.1","","","","1"
"2021-02","Quebec","2016A000224","Employment","Both sexes","15 years and over","Estimate","Trend-cycle","Persons","249","thousands","3","v123339362","6.3.1.1.1.3","4199.9","","","","1"
"2021-03","Quebec","2016A000224","Employment","Both sexes","15 years and over","Estimate","Trend-cycle","Persons","249","thousands","3","v123339362","6.3.1.1.1.3","4211.5","","","","1"
"2021-04","Quebec","2016A000224","Employment","Both sexes","15 years and over","Estimate","Trend-cycle","Persons","249","thousands","3","v123339362","6.3.1.1.1.3","4230.2","","","","1"
"2021-05","Quebec","2016A000224","Employment","Both sexes","15 years and over","Estimate","Trend-cycle","Persons","249","thousands","3","v123339362","6.3.1.1.1.3","4247.5","","","","1"
"2021-06","Quebec","2016A000224","Employment","Both sexes","15 years and over","Estimate","Trend-cycle","Persons","249","thousands","3","v123339362","6.3.1.1.1.3","4270.9","","","","1"
"2021-07","Quebec","2016A000224","Employment","Both sexes","15 years and over","Estimate","Trend-cycle","Persons","249","thousands","3","v123339362","6.3.1.1.1.3","4290.5","","","","1"
"2021-08","Quebec","2016A000224","Employment","Both sexes","15 years and over","Estimate","Trend-cycle","Persons","249","thousands","3","v123339362","6.3.1.1.1.3","4301.6","","","","1"
"2021-09","Quebec","2016A000224","Employment","Both sexes","15 years and over","Estimate","Trend-cycle","Persons","249","thousands","3","v123339362","6.3.1.1.1.3","4314.3","","","","1"
"2021-10","Quebec","2016A000224","Employment","Both sexes","15 years and over","Estimate","Trend-cycle","Persons","249","thousands","3","v123339362","6.3.1.1.1.3","4325.7","","","","1"
"2021-11","Quebec","2016A000224","Employment","Both sexes","15 years and over","Estimate","Trend-cycle","Persons","249","thousands","3","v123339362","6.3.1.1.1.3","4336.0","","","","1"
"2020-01","Quebec","2016A000224","Full-time employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063757","6.4.1.1.1.1","3534.8","","","","1"
"2020-02","Quebec","2016A000224","Full-time employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063757","6.4.1.1.1.1","3541.4","","","","1"
"2020-03","Quebec","2016A000224","Full-time employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063757","6.4.1.1.1.1","3448.3","","","","1"
"2020-04","Quebec","2016A000224","Full-time employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063757","6.4.1.1.1.1","2993.2","","","","1"
"2020-05","Quebec","2016A000224","Full-time employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063757","6.4.1.1.1.1","3228.8","","","","1"
"2020-06","Quebec","2016A000224","Full-time employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063757","6.4.1.1.1.1","3348.6","","","","1"
"2020-07","Quebec","2016A000224","Full-time employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063757","6.4.1.1.1.1","3346.2","","","","1"
