pruid,prname,date,numconf,numtotal,numtoday
11,Prince Edward Island,3/19/2020,2,2,1
60,Yukon,3/19/2020,0,0,0
61,Northwest Territories,3/19/2020,0,0,0
62,Nunavut,3/19/2020,0,0,0
99,Repatriated travellers,3/19/2020,10,10,1
1,Canada,3/19/2020,846,873,276
59,British Columbia,3/20/2020,271,271,0
48,Alberta,3/20/2020,195,195,49
47,Saskatchewan,3/20/2020,8,26,6
46,Manitoba,3/20/2020,17,17,0
35,Ontario,3/20/2020,311,311,53
24,Quebec,3/20/2020,139,139,18
10,Newfoundland and Labrador,3/20/2020,3,4,1
13,New Brunswick,3/20/2020,7,11,0
12,Nova Scotia,3/20/2020,5,15,1
11,Prince Edward Island,3/20/2020,2,2,0
60,Yukon,3/20/2020,0,0,0
61,Northwest Territories,3/20/2020,0,0,0
62,Nunavut,3/20/2020,0,0,0
99,Repatriated travellers,3/20/2020,13,13,3
1,Canada,3/20/2020,971,1004,131
59,British Columbia,3/21/2020,424,424,153
48,Alberta,3/21/2020,226,226,31
47,Saskatchewan,3/21/2020,25,44,18
46,Manitoba,3/21/2020,11,19,2
35,Ontario,3/21/2020,377,377,66
24,Quebec,3/21/2020,202,221,82
10,Newfoundland and Labrador,3/21/2020,3,6,2
13,New Brunswick,3/21/2020,9,17,6
12,Nova Scotia,3/21/2020,9,21,6
11,Prince Edward Island,3/21/2020,2,2,0
60,Yukon,3/21/2020,0,0,0
61,Northwest Territories,3/21/2020,1,1,1
62,Nunavut,3/21/2020,0,0,0
99,Repatriated travellers,3/21/2020,13,13,0
1,Canada,3/21/2020,1302,1371,367
59,British Columbia,3/22/2020,424,424,0
48,Alberta,3/22/2020,259,259,33
47,Saskatchewan,3/22/2020,33,52,8
46,Manitoba,3/22/2020,11,19,0
35,Ontario,3/22/2020,425,425,48
24,Quebec,3/22/2020,221,221,0
10,Newfoundland and Labrador,3/22/2020,3,9,3
13,New Brunswick,3/22/2020,9,17,0
12,Nova Scotia,3/22/2020,28,28,7
11,Prince Edward Island,3/22/2020,3,3,1
60,Yukon,3/22/2020,0,0,0
61,Northwest Territories,3/22/2020,1,1,0
62,Nunavut,3/22/2020,0,0,0
99,Repatriated travellers,3/22/2020,13,13,0
1,Canada,3/22/2020,1430,1471,100
59,British Columbia,3/23/2020,472,472,48
48,Alberta,3/23/2020,301,301,42
47,Saskatchewan,3/23/2020,65,66,14
46,Manitoba,3/23/2020,11,20,1
35,Ontario,3/23/2020,503,503,78
24,Quebec,3/23/2020,221,628,407
10,Newfoundland and Labrador,3/23/2020,4,24,15
13,New Brunswick,3/23/2020,9,17,0
12,Nova Scotia,3/23/2020,41,41,13
11,Prince Edward Island,3/23/2020,3,3,0
60,Yukon,3/23/2020,2,2,2
61,Northwest Territories,3/23/2020,1,1,0
62,Nunavut,3/23/2020,0,0,0
99,Repatriated travellers,3/23/2020,13,13,0
1,Canada,3/23/2020,1646,2091,620
59,British Columbia,3/24/2020,617,617,145
48,Alberta,3/24/2020,358,358,57
47,Saskatchewan,3/24/2020,72,72,6
46,Manitoba,3/24/2020,11,21,1
35,Ontario,3/24/2020,588,588,85
24,Quebec,3/24/2020,221,1013,385
10,Newfoundland and Labrador,3/24/2020,4,35,11
13,New Brunswick,3/24/2020,18,18,1
12,Nova Scotia,3/24/2020,51,51,10
11,Prince Edward Island,3/24/2020,3,3,0
60,Yukon,3/24/2020,2,2,0
61,Northwest Territories,3/24/2020,1,1,0
62,Nunavut,3/24/2020,0,0,0
99,Repatriated travellers,3/24/2020,13,13,0
1,Canada,3/24/2020,1959,2792,701
59,British Columbia,3/25/2020,659,659,42
48,Alberta,3/25/2020,419,419,61
47,Saskatchewan,3/25/2020,86,86,14
46,Manitoba,3/25/2020,11,35,14
35,Ontario,3/25/2020,688,688,100
24,Quebec,3/25/2020,1339,1339,326
10,Newfoundland and Labrador,3/25/2020,67,67,32
13,New Brunswick,3/25/2020,26,26,8
12,Nova Scotia,3/25/2020,68,68,17
11,Prince Edward Island,3/25/2020,5,5,2
60,Yukon,3/25/2020,3,3,1
61,Northwest Territories,3/25/2020,1,1,0
62,Nunavut,3/25/2020,0,0,0
99,Repatriated travellers,3/25/2020,13,13,0
1,Canada,3/25/2020,3385,3409,617
59,British Columbia,3/26/2020,725,725,66
48,Alberta,3/26/2020,486,486,67
47,Saskatchewan,3/26/2020,95,95,9
46,Manitoba,3/26/2020,11,36,1
35,Ontario,3/26/2020,858,858,170
24,Quebec,3/26/2020,1629,1629,290
10,Newfoundland and Labrador,3/26/2020,82,82,15
13,New Brunswick,3/26/2020,33,33,7
12,Nova Scotia,3/26/2020,73,73,5
11,Prince Edward Island,3/26/2020,9,9,4
60,Yukon,3/26/2020,3,3,0
61,Northwest Territories,3/26/2020,1,1,0
62,Nunavut,3/26/2020,0,0,0
99,Repatriated travellers,3/26/2020,13,13,0
1,Canada,3/26/2020,4018,4043,634
59,British Columbia,3/27/2020,725,725,0
48,Alberta,3/27/2020,542,542,56
47,Saskatchewan,3/27/2020,104,104,9
46,Manitoba,3/27/2020,25,39,3
35,Ontario,3/27/2020,993,993,135
24,Quebec,3/27/2020,2021,2021,392
10,Newfoundland and Labrador,3/27/2020,102,102,20
13,New Brunswick,3/27/2020,45,45,12
12,Nova Scotia,3/27/2020,90,90,17
11,Prince Edward Island,3/27/2020,11,11,2
60,Yukon,3/27/2020,3,3,0
61,Northwest Territories,3/27/2020,1,1,0
62,Nunavut,3/27/2020,0,0,0
99,Repatriated travellers,3/27/2020,13,13,0
1,Canada,3/27/2020,4675,4689,646
59,British Columbia,3/28/2020,884,884,159
48,Alberta,3/28/2020,542,542,0
47,Saskatchewan,3/28/2020,134,134,30
46,Manitoba,3/28/2020,25,64,25
35,Ontario,3/28/2020,993,993,0
24,Quebec,3/28/2020,2498,2498,477
10,Newfoundland and Labrador,3/28/2020,120,120,18
13,New Brunswick,3/28/2020,51,51,6
12,Nova Scotia,3/28/2020,110,110,20
11,Prince Edward Island,3/28/2020,11,11,0
60,Yukon,3/28/2020,4,4,1
61,Northwest Territories,3/28/2020,1,1,0
62,Nunavut,3/28/2020,0,0,0
99,Repatriated travellers,3/28/2020,13,13,0
1,Canada,3/28/2020,5386,5425,736
59,British Columbia,3/29/2020,884,884,0
48,Alberta,3/29/2020,621,621,79
47,Saskatchewan,3/29/2020,134,134,0
46,Manitoba,3/29/2020,69,72,8
35,Ontario,3/29/2020,1355,1355,362
24,Quebec,3/29/2020,2840,2840,342
10,Newfoundland and Labrador,3/29/2020,135,135,15
13,New Brunswick,3/29/2020,66,66,15
12,Nova Scotia,3/29/2020,122,122,12
11,Prince Edward Island,3/29/2020,11,11,0
60,Yukon,3/29/2020,4,4,0
61,Northwest Territories,3/29/2020,1,1,0
62,Nunavut,3/29/2020,0,0,0
99,Repatriated travellers,3/29/2020,13,13,0
1,Canada,3/29/2020,6255,6258,833
59,British Columbia,3/30/2020,960,960,76
48,Alberta,3/30/2020,690,690,69
47,Saskatchewan,3/30/2020,175,175,41
46,Manitoba,3/30/2020,83,96,24
35,Ontario,3/30/2020,1706,1706,351
24,Quebec,3/30/2020,3430,3430,590
10,Newfoundland and Labrador,3/30/2020,148,148,13
13,New Brunswick,3/30/2020,68,68,2
12,Nova Scotia,3/30/2020,127,127,5
11,Prince Edward Island,3/30/2020,18,18,7
60,Yukon,3/30/2020,5,5,1
61,Northwest Territories,3/30/2020,1,1,0
62,Nunavut,3/30/2020,0,0,0
99,Repatriated travellers,3/30/2020,13,13,0
1,Canada,3/30/2020,7424,7437,1179
59,British Columbia,3/31/2020,970,970,10
48,Alberta,3/31/2020,754,754,64
47,Saskatchewan,3/31/2020,184,184,9
46,Manitoba,3/31/2020,91,103,7
35,Ontario,3/31/2020,1966,1966,260
24,Quebec,3/31/2020,4162,4162,732
10,Newfoundland and Labrador,3/31/2020,152,152,4
13,New Brunswick,3/31/2020,70,70,2
12,Nova Scotia,3/31/2020,147,147,20
11,Prince Edward Island,3/31/2020,21,21,3
60,Yukon,3/31/2020,5,5,0
61,Northwest Territories,3/31/2020,1,1,0
62,Nunavut,3/31/2020,0,0,0
99,Repatriated travellers,3/31/2020,13,13,0
1,Canada,3/31/2020,8536,8548,1111
59,British Columbia,4/1/2020,1066,1066,96
48,Alberta,4/1/2020,754,754,0
